  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 Regional 2 South East, 2022-23,10/09/2022, Farnham, Away, Lose,23 ,30 , M Poole, A Maguire, J Karimian, H Phillips, M Naeem, T Devereux, C Wallace, O Millward, L Driscoll, S Druce, N Street, C Williams, Ch King, C Cutting, A Jordan, L Brooks, T Tyson, W Matthews
 London 1 South, 2021-22,23/04/2022, Horsham, Away, Lose,19 ,26 , M Poole, H Phillips, T Lloyd, A Burrill, C Edbrooke, B Madge, S Kettle, J Garner, L Driscoll, Ch King, A Jordan, R Voller, J Millington, J Wigmore, L Outhwaite, J Karimian, C Beecroft, O Millward
 London 1 South, 2021-22,09/04/2022, London Cornish, Home, Win,34 ,7 , T Lloyd, H Phillips, J Karimian, A Burrill, C Edbrooke, B Madge, S Kettle, J Garner, L Driscoll, Ch King, A Jordan, R Voller, C Cutting, J Wigmore, L Outhwaite, L Brooks, C Beecroft, A Jayawickrema
 London 1 South, 2021-22,02/04/2022, London Welsh, Away, Win,26 ,28 , M Poole, H Phillips, T Lloyd, C Edbrooke, A Burrill, O Millward, S Kettle, J Garner, L Driscoll, Ch King, A Jordan, J Millington, R Voller, J Wigmore, L Outhwaite, J Karimian, B Madge, A Jayawickrema
 London 1 South, 2021-22,26/03/2022, Battersea Ironsides, Home, Win,41 ,32 , M Poole, M Andrews, T Lloyd, C Edbrooke, C Beecroft, H Phillips, S Kettle, J Garner, I Jones, Ch King, A Jordan, R Voller, C Cutting, J Wigmore, L Outhwaite, O Millward, A Burrill, A Jayawickrema
 London 1 South, 2021-22,12/03/2022, Chichester, Away, Win,24 ,33 , M Poole, B Madge, T Lloyd, C Beecroft, C Edbrooke, H Phillips, S Kettle, J Garner, I Jones, Ch King, L Outhwaite, C Cutting, R Voller, J Wigmore, H Cole, M Andrews, O Millward, A Jordan
 London 1 South, 2021-22,05/03/2022, London Irish, Away, Win,22 ,5 , M Poole, B Madge, T Lloyd, C Beecroft, C Edbrooke, H Phillips, S Kettle, J Garner, I Jones, Ch King, L Outhwaite, G Moore, C Cutting, J Wigmore, H Cole, L Brooks, O Millward, R Voller
 London 1 South, 2021-22,19/02/2022, Farnham, Home, Lose,18 ,21 , M Poole, M Andrews, J Karimian, C Edbrooke, A Burrill, S Kettle, T Devereux, J Garner, I Jones, Ch King, W Vincent, G Moore, A Jordan, C Cutting, R Voller, T Lloyd, H Phillips, L Outhwaite
 London 1 South, 2021-22,12/02/2022, Hammersmith & Fulham, Away, Win,9 ,17 , M Poole, M Andrews, J Karimian, A Burrill, C Beecroft, S Kettle, T Devereux, J Garner, L Driscoll, Ch King, J Wigmore, G Moore, A Jordan, W Vincent, H Cole, T Lloyd, H Phillips, I Jones
 London 1 South, 2021-22,05/02/2022, Cobham, Home, Lose,14 ,20 , M Poole, H Duffy, J Karimian, A Burrill, C Beecroft, H Phillips, T Devereux, J Garner, I Jones, R Voller, J Wigmore, G Moore, Ch King, W Vincent, A Jordan, T Lloyd, S Kettle, H Cole
 London 1 South, 2021-22,29/01/2022, Medway, Home, Lose,26 ,43 , M Poole, M Andrews, J Karimian, A Burrill, C Beecroft, H Phillips, B Madge, J Garner, L Driscoll, R Voller, J Wigmore, A Jordan, Ch King, W Vincent, I Jones, H Duffy, M Rowlandson, H Cole
 London 1 South, 2021-22,15/01/2022, KCS Old Boys, Home, Win,36 ,24 , M Poole, M Andrews, J Karimian, A Burrill, C Beecroft, H Phillips, B Madge, J Garner, L Driscoll, R Voller, J Wigmore, Ch King, A Jordan, W Vincent, Z Rodber, T Lloyd, H Duffy, I Jones
 London 1 South, 2021-22,08/01/2022, Camberley, Away, Lose,7 ,41 , J Karimian, M Poole, C Beer, A Burrill, C Edbrooke, H Phillips, S Kettle, J Garner, L Driscoll, C Thomas, W Vincent, R Voller, A Jordan, I Jones, Z Rodber, T Lloyd, B Madge, J Wigmore
 London 1 South, 2021-22,11/12/2021, London Cornish, Away, Lose,15 ,20 , M Poole, M Andrews, C Beer, A Burrill, C Edbrooke, H Phillips, M Rowlandson, J Garner, L Evans, L Driscoll, R Fraser, S Kettle, A Jordan, I Jones, R Voller, J Karimian, T Lloyd, C Thomas
 London 1 South, 2021-22,04/12/2021, London Welsh, Home, Win,29 ,26 , M Poole, M Andrews, C Beer, A Burrill, C Edbrooke, H Phillips, B Madge, J Garner, L Evans, L Driscoll, W Vincent, S Kettle, Ch King, I Jones, R Voller, L Brooks, J Karimian, C Thomas
 London 1 South, 2021-22,27/11/2021, Battersea Ironsides, Away, Lose,12 ,28 , M Poole, H Phillips, T Lloyd, A Burrill, C Edbrooke, S Kettle, T Devereux, J Garner, L Evans, C Thomas, W Vincent, R Voller, Ch King, R Fraser, I Jones, J Karimian, M Rowlandson, L Driscoll
 London 1 South, 2021-22,13/11/2021, Chichester, Home, Win,43 ,22 , M Poole, M Andrews, C Beer, A Burrill, C Edbrooke, H Phillips, T Devereux, J Garner, L Evans, Ch King, W Vincent, R Voller, A Jordan, J Wigmore, I Jones, H Duffy, M Rowlandson, R Fraser
 London 1 South, 2021-22,06/11/2021, London Irish, Home, Win,52 ,29 , M Poole, M Andrews, C Beer, A Burrill, C Edbrooke, B Madge, T Devereux, J Garner, L Evans, Ch King, W Vincent, R Voller, A Jordan, J Wigmore, I Jones, H Phillips, H Duffy, R Fraser
 London 1 South, 2021-22,30/10/2021, Farnham, Away, Draw,20 ,20 , M Poole, M Andrews, C Beer, A Burrill, C Edbrooke, B Madge, T Devereux, J Garner, L Evans, Ch King, W Vincent, G Moore, A Jordan, J Wigmore, I Jones, H Phillips, H Duffy, R Voller
 London 1 South, 2021-22,23/10/2021, Hammersmith & Fulham, Home, Lose,22 ,34 , L Brooks, M Andrews, C Beer, A Burrill, C Edbrooke, H Phillips, S Kettle, J Garner, I Jones, M Aitchison, W Vincent, R Voller, G Moore, A Jordan, C Thomas, H Duffy, S Woodger, Ch King
 London 1 South, 2021-22,16/10/2021, Medway, Away, Lose,17 ,51 , M Poole, M Andrews, J Karimian, A Burrill, C Edbrooke, H Phillips, S Kettle, J Garner, I Jones, C Thomas, J Wigmore, R Voller, Ch King, W Vincent, A Jordan, C Beer, S Woodger, G Moore
 London 1 South, 2021-22,25/09/2021, KCS Old Boys, Away, Lose,6 ,46 , A Burrill, C Cutting, D Hardy, G Johnson, J Garner, J Karimian, L Brooks, S Woodger, A Jordan, Ch King, I Jones, J Wigmore, K Jones, L Evans, R Andrews, T Lloyd, T Roaf, W Vincent
 London 1 South, 2021-22,18/09/2021, Camberley, Home, Lose,15 ,42 , M Poole, D Windle, C Beer, C Edbrooke, C Beecroft, C Cutting, D Hardy, J Garner, I Jones, L Evans, A Jayawickrema, R Andrews, J Wigmore, A Jordan, K Jones, T Lloyd, J Karimian, W Vincent
 London 1 South, 2021-22,11/9/2021, Cobham, Away, Win,34 ,23 , M Poole, H Phillips, C Beer, C Edbrooke, A Burrill, S Kettle, T Devereux, J Garner, I Jones, L Evans, Ch King, G Moore, J Wigmore, A Jordan, K Jones, T Lloyd, M Andrews, W Vincent
 London 1 South, 2021-22,04/09/2021, Horsham, Home, Win,36 ,16 , M Poole, H Phillips, T Lloyd, C Edbrooke, A Burrill, S Kettle, T Devereux, J Garner, I Jones, L Evans, Ch King, G Moore, K Jones, A Jordan, T Featherstone, J Karimian, C Beer, J Potter
 London Premier, 2019-20,29/02/2020, Dorking, Away, Win,15 ,5 , M Poole, A Bellamy, M Trott, H Phillips, G Holt, O Millward, S Kettle, J Garner, E Crossley, L Evans, A Jordan, A Bainikoro, Ch King, Barney King, I Jones, J Karimian, J Roberts, J Millington
 London Premier, 2019-20,22/02/2020, Rochford Hundred, Away, Lose,12 ,31 , M Poole, A Bellamy, M Trott, H Phillips, A Burrill, O Millward, S Kettle, J Garner, E Crossley, I Jones, J Wigmore, A Bainikoro, Ch King, Barney King, A Jordan, J Karimian, J Roberts, C Cutting
 London Premier, 2019-20,15/02/2020, Wimbledon, Home, Lose,-  ,38 , M Poole, H Duffy, J Karimian, G Holt, A Burrill, H Phillips, S Kettle, J Garner, E Crossley, L Evans, J Wigmore, J Gomez, Ch King, Barney King, I Jones, A Bellamy, G Johns, C Cutting
 London Premier, 2019-20,01/02/2020, Sidcup, Away, Lose,17 ,32 , M Poole, H Duffy, J Karimian, H Phillips, A Burrill, J Roberts, S Kettle, J Garner, E Crossley, L Evans, J Wigmore, J Millington, Ch King, J Gomez, I Jones, A Bellamy, G Holt, Barney King
 London Premier, 2019-20,25/01/2020, Bedford Athletic, Home, Win,29 ,8 , M Poole, H Duffy, J Karimian, H Phillips, A Burrill, O Millward, S Kettle, J Garner, E Crossley, L Evans, J Wigmore, J Millington, Ch King, I Jones, D Paton, A Maguire, J Roberts, B King
 London Premier, 2019-20,18/01/2020, Tring, Away, Lose,14 ,16 , M Poole, A Maguire, J Karimian, H Phillips, G Holt, L Brooks, J Roberts, O Millward, E Crossley, B King, J Wigmore, J Millington, Ch King, J Gomez, I Jones, H Duffy, M Rowlandson, D Paton
 London Premier, 2019-20,11/01/2020, Sevenoaks, Home, Lose,15 ,26 , M Poole, A Maguire, J Karimian, H Phillips, G Holt, S Kettle, O Millward, J Garner, E Crossley, L Evans, J Wigmore, B King, Ch King, T Jeffery, J Burden, A Williams, J Roberts, J Gomez
 London Premier, 2019-20,04/01/2020, CS Stags 1863, Away, Draw,10 ,10 , M Poole, A Maguire, J Karimian, D Wallace, H Phillips, S Kettle, O Millward, J Garner, E Crossley, B King, J Wigmore, Ch King, J Burden, J Gomez, I Jones, A Williams, J Roberts, T Jeffery
 London Premier, 2019-20,21/12/2019, London Irish, Home, Win,22 ,13 , C Beer, A Maguire, M Trott, H Phillips, D Wallace, S Kettle, O Millward, J Garner, E Crossley, L Evans, J Wigmore, B King, Ch King, J Gomez, J Burden, M Poole, G Holt, I Jones
 London Premier, 2019-20,14/12/2019, Guernsey, Away, Lose,5 ,45 , J Karimian, A Bellamy, C Beer, M Poole, H Phillips, P Green, J Roberts, O Millward, E Crossley, L Evans, A Jordan, A Jones, J Millington, J Gomez, C Thomas, G Johnson, M Rowlandson, T Williams
 London Premier, 2019-20,07/12/2019, Hertford, Home, Lose,15 ,22 , G Banks, A Bellamy, C Beer, M Poole, H Phillips, P Green, J Roberts, J Garner, E Crossley, L Evans, A Jordan, A Jones, Ch King, T Jeffery, I Jones, J Karimian, M Rowlandson, S Fee
 London Premier, 2019-20,23/11/2019, Brighton, Away, Lose,10 ,34 , G Banks, A Bellamy, C Beer, M Poole, G Holt, H Phillips, T Devereux, O Millward, E Crossley, S Fee, I Jones, A Jones, Ch King, T Jeffery, L Evans, J Karimian, M Rowlandson, T Williams
 London Premier, 2019-20,16/11/2019, Dorking, Home, Lose,21 ,55 , M Poole, A Bellamy, G Banks, H Phillips, G Holt, O Millward, T Devereux, P Green, E Crossley, S Fee, J Wigmore, A Jones, Ch King, I Jones, L Evans, J Karimian, M Rowlandson, T Jeffery
 London Premier, 2019-20,09/11/2019, Rochford Hundred, Home, Lose,-  ,12 , G Banks, M Poole, C Beer, H Phillips, D Wallace, P Green, T Devereux, J Garner, E Crossley, S Fee, J Wigmore, A Jones, K Jones, T Jeffery, I Jones, L Brooks, G Holt, L Evans
 London Premier, 2019-20,25/10/2019, Wimbledon, Away, Lose,7 ,52 , L Brooks, H Phillips, G Banks, G Lovatt, G Holt, O Millward, C Cutting, J Garner, E Crossley, S Fee, J Wigmore, T Devereux, K Jones, K Lipinski, I Jones, R Brooker, T Roaf, T Jeffery
 London Premier, 2019-20,19/10/2019, Sidcup, Home, Lose,23 ,29 , G Banks, A Bellamy, C Beer, M Poole, G Holt, H Phillips, P Green, J Garner, I Jones, S Fee, T Devereux, A Jones, G Moore, O Millward, T Williams, L Brooks, T Roaf, Barney King
 London Premier, 2019-20,12/10/2019, Bedford Athletic, Away, Lose,21 ,29 , M Poole, A Bellamy, C Beer, H Phillips, G Holt, G Lovatt, T Devereux, J Garner, E Crossley, S Fee, J Wigmore, A Jones, J Millington, K Lipinski, I Jones, G Banks, L Brooks, G Moore
 London Premier, 2019-20,05/10/2019, Tring, Home, Lose,26 ,47 , M Poole, A Bellamy, C Beer, H Phillips, G Hill, O Millward, T Devereux, J Garner, E Crossley, S Fee, J Wigmore, A Jones, K Jones, C Thomas, I Jones, G Banks, G Holt, P Green
 London Premier, 2019-20,28/09/2019, Sevenoaks, Away, Lose,3 ,17 , G Banks, M Poole, C Beer, T Roaf, G Hill, B Coombs, O Millward, J Garner, E Crossley, B Smith, J Wigmore, T Devereux, K Jones, K Lipinski, I Jones, J Wilderspin, M Holden, A Jones
 London Premier, 2019-20,21/09/2019, CS Stags 1863, Home, Win,24 ,7 , G Banks, A Bellamy, C Beer, D Wallace, M Poole, O Millward, C Cutting, J Garner, E Crossley, B Smith, J Wigmore, T Devereux, K Jones, M Holden, I Jones, B Coombs, G Lovatt, C Thomas
 London Premier, 2019-20,14/09/2019, London Irish, Away, Lose,19 ,43 , M Poole, A Bellamy, C Beer, G Holt, D Wallace, H Phillips, T Devereux, J Garner, E Crossley, B King, J Wigmore, J Potter, T Jeffery, K Jones, I Jones, J Karimian, C Cutting, C Thomas
 London Premier, 2019-20,07/09/2019, Tunbridge Wells, Home, Lose,18 ,25 , M Poole, A Bellamy, G Banks, D Wallace, G Holt, O Millward, T Devereux, J Garner, B Smith, B King, J Wigmore, J Potter, J Burden, J Denning, I Jones, C Beer, H Phillips, E Crossley
 London Premier, 2018-19,13/04/2019, Chingford, Away, Lose,12 ,43 , M Poole, H Phillips, C Beer, A Burrill, D Wallace, T Devereux, S Kettle, J Garner, J Burden, B King, A Jordan, A Jones, T Harty, T Jeffery, K Jones, H Duffy, J Karimian, Ch King
 London Premier, 2018-19,06/04/2019, CS Stags 1863, Home, Win,34 ,26 , M Poole, H Phillips, G Banks, A Burrill, C Raymond, D Wallace, S Kettle, J Garner, B King, P Hodgkinson, A Jordan, J Smith, T Harty, T Jeffery, T Forbes, H Duffy, W Larkin, A Jones
 London Premier, 2018-19,30/03/2019, Bedford Athletic, Away, Lose,7 ,63 , G Banks, A Bellamy, C Beer, H Phillips, A Burrill, D Wallace, S Kettle, J Garner, I Jones, B Smith, J Denning, T Forbes, B King, T Jeffery, M Holden, J Karimian, J Roux de Buisson, S Fee
 London Premier, 2018-19,23/03/2019, Tring, Home, Lose,7 ,39 , G Banks, A Bellamy, B Mairs, M Poole, J Roberts, H Phillips, S Kettle, J Garner, B Smith, P Hodgkinson, A Jordan, A Jones, J Smith, T Jeffery, D Paton, C Beer, D Wallace, I Jones
 London Premier, 2018-19,09/03/2019, Sutton & Epsom, Away, Win,29 ,25 , C Beer, H Phillips, B Mairs, M Poole, J Roberts, D Wallace, S Kettle, J Garner, I Jones, P Hodgkinson, A Jordan, A Jones, T Harty, T Jeffery, D Paton, J Roux de Buisson, A Mackie, S Fee
 London Premier, 2018-19,02/03/2019, Brentwood, Home, Win,27 ,21 , G Banks, H Phillips, B Mairs, M Poole, C Raymond, D Wallace, J Roux de Buisson, J Garner, I Jones, P Hodgkinson, A Jordan, A Jones, T Harty, T Jeffery, D Paton, C Beer, T Tyson, B King
 London Premier, 2018-19,16/02/2019, Wimbledon, Away, Lose,7 ,38 , G Banks, H Phillips, C Beer, M Poole, R Mitchell, A Burrill, J Roux de Buisson, C Raymond, B Smith, P Hodgkinson, A Jordan, A Jones, B King, K Jones, D Paton, A Williams, T Tyson, I Jones
 London Premier, 2018-19,09/02/2019, Westcliff, Away, Lose,10 ,32 , G Banks, H Phillips, B Mairs, M Poole, A Burrill, C Raymond, S Kettle, N Brown, K Brown, P Hodgkinson, T Hothersall, A Jones, D Paton, T Jeffery, K Jones, T Tyson, J Roux de Buisson, I Jones
 London Premier, 2018-19,26/01/2019, Shelford, Home, Win,48 ,17 , M Poole, H Phillips, B Mairs, R Mitchell, A Burrill, S Kettle, A Hosking, N Brown, B Smith, P Hodgkinson, T Hothersall, A Jones, A Jordan, T Jeffery, K Brown, G Banks, J Roux de Buisson, I Jones
 London Premier, 2018-19,19/01/2019, Tunbridge Wells, Away, Win,29 ,12 , M Poole, H Phillips, B Mairs, N Brown, A Burrill, S Kettle, A Hosking, J Garner, B Smith, P Hodgkinson, A Jordan, A Jones, B King, T Jeffery, K Brown, G Banks, C Raymond, T Hothersall
 London Premier, 2018-19,12/01/2019, Hertford, Home, Lose,11 ,45 , M Poole, H Phillips, B Mairs, A Burrill, C Raymond, S Kettle, A Hosking, J Garner, B Smith, J Burden, A Jordan, J Smith, P Hodgkinson, Ch King, D Paton, G Banks, J Roux de Buisson, B King
 London Premier, 2018-19,05/01/2019, Sidcup, Away, Lose,19 ,41 , R Crabtree, H Phillips, M Poole, J Brown, A Burrill, C Raymond, J Garner, N Brown, M Shea, B King, S Purves, A Jones, R Voller, J Denning, K Brown, J Karimian, S Kettle, I Jones
 London Premier, 2018-19,15/12/2018, Dorking, Home, Lose,8 ,19 , M Poole, T Hickey, B Mairs, N Brown, A Burrill, S Kettle, A Hosking, J Garner, K Brown, P Hodgkinson, A Jordan, A Jones, B King, S Purves, K Jones, C Beer, H Phillips, B Smith
 London Premier, 2018-19,08/12/2018, CS Stags 1863, Away, Lose,10 ,32 , M Poole, T Hickey, B Mairs, J Brown, N Brown, S Kettle, A Hosking, J Garner, K Brown, B King, A Jordan, R Andrews, P Hodgkinson, T Hothersall, R Voller, R Crabtree, H Phillips, C Jordan
 London Premier, 2018-19,01/12/2018, Bedford Athletic, Home, Win,35 ,29 , M Poole, T Hickey, B Mairs, J Brown, A Burrill, N Brown, A Hosking, J Garner, K Brown, B King, T Hothersall, S Flannery, P Hodgkinson, T Jeffery, K Jones, R Crabtree, S Kettle, C Jordan
 London Premier, 2018-19,24/11/2018, Tring, Away, Lose,27 ,69 , R Crabtree, H Phillips, M Poole, N Brown, J Brown, C Raymond, A Hosking, J Garner, C Jordan, K Brown, A Jordan, T Forbes, T Jeffery, S Purves, K Jones, M Watkinson, S Kettle, S Fee
 London Premier, 2018-19,17/11/2018, Sutton & Epsom, Home, Lose,12 ,23 , M Poole, H Phillips, B Mairs, N Brown, A Burrill, C Raymond, A Hosking, J Garner, K Brown, B Smith, T Richards, J Smith, T Harty, T Jeffery, A Jordan, H Duffy, S Kettle, T Forbes
 London Premier, 2018-19,03/11/2018, Brentwood, Away, Win,38 ,32 , M Poole, A Bellamy, B Mairs, H Phillips, A Burrill, T Devereux, A Hosking, N Brown, K Brown, B Smith, A Jordan, Ch King, P Hodgkinson, T Jeffery, K Jones, J Karimian, J Roux de Buisson, T Forbes
 London Premier, 2018-19,27/10/2018, Wimbledon, Home, Win,28 ,27 , G Banks, A Bellamy, B Mairs, N Brown, A Burrill, B Holden, A Hosking, J Garner, B Smith, P Hodgkinson, A Jordan, R Andrews, T Harty, T Jeffery, T Forbes, M Poole, T Devereux, K Brown
 London Premier, 2018-19,20/10/2018, Westcliff, Home, Lose,20 ,29 , G Banks, H Phillips, B Mairs, N Brown, A Burrill, B Holden, J Garner, C Raymond, K Brown, P Hodgkinson, T Richards, T Forbes, R Andrews, T Jeffery, A Jordan, M Poole, T Hickey, C Jordan
 London Premier, 2018-19,06/10/2018, Shelford, Away, Win,24 ,22 , M Poole, H Phillips, G Banks, R Heath, A Burrill, N Brown, T Devereux, C Raymond, K Brown, B Smith, A Jordan, T Forbes, L Rust, T Jeffery, K Jones, J Karimian, J Roux de Buisson, A Vaughan
 London Premier, 2018-19,29/09/2018, Tunbridge Wells, Home, Win,24 ,22 , G Banks, H Phillips, M Poole, N Brown, A Burrill, B Holden, J Garner, C Raymond, B Smith, P Hodgkinson, T Jeffery, L Rust, T Harty, T Richards, A Jordan, C Beer, T Devereux, K Brown
 London Premier, 2018-19,22/09/2018, Hertford, Away, Win,15 ,13 , G Banks, H Phillips, B Mairs, N Brown, A Burrill, B Holden, J Garner, C Raymond, B Smith, P Hodgkinson, A Jordan, A Jones, L Rust, J Smith, K Brown, M Poole, R Heath, Ch King
 London Premier, 2018-19,15/09/2018, Sidcup, Home, Lose,25 ,31 , M Poole, T Hickey, G Banks, N Brown, A Burrill, C Raymond, S Kettle, J Garner, K Brown, B Smith, T Richards, J Smith, T Harty, T Jeffery, K Jones, J Karimian, H Phillips, T Forbes
 London Premier, 2018-19,08/09/2018, Dorking, Away, Lose,13 ,16 , M Poole, H Duffy, B Mairs, N Brown, A Burrill, C Raymond, S Kettle, J Garner, K Brown, B Smith, A Jordan, J Smith, T Harty, Ch King, K Jones, G Banks, H Phillips, T Forbes
 London Premier, 2018-19,01/09/2018, Chingford, Home, Win,34 ,31 , M Poole, T Hickey, G Banks, N Brown, A Burrill, C Raymond, S Kettle, J Garner, B Smith, P Hodgkinson, A Jordan, A Jones, Ch King, T Jeffery, K Brown, B Mairs, H Kettle, B King
 London Premier, 2017-18,21/04/2018, Hertford, Home, Lose,31 ,41 , G Banks, T Hickey, B Mairs, A Burrill, R Pollett, T Devereux, S Kettle, J Garner, B Smith, J Burden, P Mac Enri, R Andrews, L Rust, A Jordan, A Chisholm, M Poole, O Millward, J Gomez
 London Premier, 2017-18,13/04/2013, Tunbridge Wells, Away, Lose,21 ,24 , G Banks, T Hickey, B Mairs, A Burrill, R Pollett, T Devereux, S Kettle, J Garner, B Smith, J Burden, P Mac Enri, R Andrews, L Rust, A Jordan, A Chisholm, M Poole, O Millward, F Hooper
 London Premier, 2017-18,07/03/2018, Sutton & Epsom, Home, Lose,19 ,24 , M Watkinson, S Younghusband, G Banks, A Burrill, R Pollett, S Kettle, O Millward, J Garner, B Smith, R Andrews, A Jordan, F Hooper, L Rust, Ch King, A Chisholm, J Phillips, T Devereux, B King
 London Premier, 2017-18,24/03/2018, Towcester, Away, Win,31 ,7 , M Watkinson, S Younghusband, M Poole, A Burrill, R Pollett, T Devereux, S Kettle, J Garner, B Smith, B King, A Jordan, L Rust, Ch King, P Mac Enri, A Chisholm, J Phillips, O Millward, C Jordan
