  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 London Premier, 2017-18,10/03/2018, Tring, Home, Lose,5 ,75 , A Williams, H Phillips, G Banks, R Mitchell, R Pollett, T Devereux, C Cutting, R Brooker, C Jordan, B King, S Purves, F Hooper, Ch King, P Mac Enri, A Chisholm, B Mairs, S Kettle, S Fee
 London Premier, 2017-18,03/03/2018, Guernsey, Away, Lose,10 ,39 , G Banks, H Phillips, B Mairs, J Phillips, A Burrill, O Millward, T Devereux, J Garner, B King, R Andrews, A Jordan, F Hooper, L Rust, Ch King, A Chisholm, M Poole, W Radford, J Burden
 London Premier, 2017-18,17/02/2018, Barnes, Home, Lose,19 ,42 , A Williams, H Phillips, B Mairs, R Pollett, A Burrill, O Millward, T Devereux, J Garner, B Smith, S Fee, A Jordan, R Andrews, L Rust, Ch King, F Hooper, G Banks, W Radford, B King
 London Premier, 2017-18,03/02/2018, Shelford, Away, Lose,-  ,64 , M Poole, T Hickey, B Mairs, J Phillips, R Mitchell, O Millward, T Devereux, A Burrill, B Smith, G Davies, Ch King, R Andrews, P Goodwin, J Gomez, F Hooper, J Karimian, B Holden, I Jones
 London Premier, 2017-18,27/01/2018, Westcombe Park, Home, Lose,10 ,17 , M Poole, T Hickey, B Mairs, A Burrill, R Pollett, O Millward, T Devereux, J Garner, B Smith, B King, A Jordan, R Andrews, T Harty, S Purves, N Clarke, M Watkinson, H Phillips, P Mac Enri
 London Premier, 2017-18,20/01/2018, Westcliff, Home, Win,29 ,22 , G Banks, T Hickey, B Mairs, A Burrill, R Pollett, O Millward, T Devereux, J Garner, B Smith, B King, P Mac Enri, R Andrews, F Hooper, S Purves, N Clarke, M Watkinson, H Phillips, Ch King
 London Premier, 2017-18,13/01/2018, Sidcup, Away, Lose,26 ,47 , J Karimian, T Hickey, M Watkinson, A Burrill, R Pollett, O Millward, T Devereux, J Garner, B Smith, R Andrews, A Jordan, F Hooper, J West, P Mac Enri, D Paton, M Trott, H Phillips, B King
 London Premier, 2017-18,06/01/2018, Southend, Home, Win,31 ,25 , M Poole, T Hickey, G Banks, A Burrill, R Pollett, O Millward, T Devereux, J Garner, B King, R Andrews, A Jordan, F Hooper, T Harty, P Mac Enri, D Paton, M Watkinson, R Mitchell, G Davies
 London Premier, 2017-18,16/12/2017, Dorking, Away, Lose,26 ,30 , A Williams, T Hickey, B Mairs, A Burrill, R Pollett, O Millward, T Devereux, J Garner, C Jordan, J Burden, A Jordan, F Hooper, C King, P Mac Enri, D Paton, M Poole, R Mitchell, B King
 London Premier, 2017-18,09/12/2017, Tunbridge Wells, Home, Lose,26 ,39 , M Poole, H Phillips, G Banks, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, I Jones, G Davies, A Jordan, D Paton, F Hooper, S Phillips, P Mac Enri, A Williams, O Millward, Ch King
 London Premier, 2017-18,02/12/2017, Sutton & Epsom, Away, Lose,26 ,41 , A Williams, T Hickey, G Banks, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, C Jordan, G Davies, T Peters, F Hooper, Ch King, S Phillips, P Mac Enri, B Mairs, O Millward, I Jones
 London Premier, 2017-18,25/11/2017, Towcester, Home, Draw,38 ,38 , M Watkinson, T Hickey, B Mairs, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, C Jordan, G Davies, P Mac Enri, F Hooper, L Rust, A Jordan, D Paton, M Poole, O Millward, B King
 London Premier, 2017-18,11/11/2017, Tring, Away, Lose,6 ,31 , M Watkinson, T Hickey, M Poole, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, C Jordan, G Davies, P Mac Enri, F Hooper, L Rust, J Gomez, D Paton, A Williams, O Millward, B King
 London Premier, 2017-18,04/11/2017, Guernsey, Home, Win,33 ,22 , M Watkinson, B Holden, G Banks, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, C Jordan, G Davies, P Mac Enri, F Hooper, L Rust, J Gomez, D Paton, M Poole, T Hickey, J Burden
 London Premier, 2017-18,28/10/2017, Barnes, Away, Lose,15 ,22 , M Watkinson, B Holden, G Banks, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, C Jordan, G Davies, P Mac Enri, F Hooper, L Rust, T Harty, D Paton, M Poole, O Millward, B King
 London Premier, 2017-18,21/10/2017, Shelford, Home, Win,34 ,8 , G Banks, B Holden, B Mairs, A Burrill, A Becker, R Pollett, T Devereux, J Garner, C Jordan, G Davies, P Mac Enri, F Hooper, L Rust, T Harty, D Paton, A Williams, J Dunnett, B King
 London Premier, 2017-18,07/10/2017, Westcombe Park, Away, Lose,22 ,27 , A Williams, B Holden, B Mairs, A Burrill, R Pollett, J Dunnett, T Devereux, J Garner, B Smith, G Davies, A Jordan, F Hooper, L Rust, T Harty, D Paton, H Duffy, R Mitchell, C Jordan
 London Premier, 2017-18,30/09/2017, Westcliff, Away, Win,36 ,10 , G Banks, B Holden, B Mairs, A Becker, A Burrill, R Pollett, T Devereux, J Garner, B Smith, G Davies, A Jordan, F Hooper, L Rust, T Harty, D Paton, A Williams, J Dunnett, C Jordan
 London Premier, 2017-18,23/09/2017, Sidcup, Home, Lose,24 ,44 , M Watkinson, B Holden, G Banks, A Burrill, R Pollett, A Becker, T Devereux, J Garner, C Jordan, G Davies, A Jordan, F Hooper, T Harty, P Mac Enri, D Paton, J Phillips, J Dunnett, N Clarke
 London Premier, 2017-18,16/09/2017, Southend, Away, Win,38 ,19 , G Banks, B Holden, B Mairs, J Phillips, R Pollett, A Becker, J Kirk, J Garner, B Smith, G Davies, A Jordan, D Paton, Ch King, A Gee, P Mac Enri, A Williams, A Burrill, B King
 London Premier, 2017-18,09/09/2017, Dorking, Home, Lose,31 ,32 , A Williams, B Holden, B Mairs, A Burrill, R Pollett, O Millward, T Devereux, J Garner, B Smith, G Davies, Ch King, L Rust, T Harty, A Gee, D Paton, J Phillips, J Kirk, C King
 London Premier, 2017-18,01/09/2017, Hertford, Away, Lose,20 ,47 , H Duffy, B Holden, B Mairs, A Becker, R Pollett, O Millward, T Devereux, J Garner, B Smith, G Davies, A Jordan, L Rust, T Harty, A Gee, D Paton, M Watkinson, J Phillips, J Burden
 National 3 LSE, 2016-17,22/04/2017, Shelford, Away, Lose,19 ,36 , A Williams, T Hickey, B Mairs, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, J Burden, B Smith, A Jordan, A Vaughan, R Voller, S Purves, F Hooper, M Watkinson, B Holden, C Jordan
 National 3 LSE, 2016-17,08/04/2017, Guernsey, Home, Win,27 ,17 , M Watkinson, T Hickey, R Crabtree, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, J Burden, B Smith, A Jordan, A Vaughan, L Rust, S Purves, F Hooper, A Williams, J Phillips, C Jordan
 National 3 LSE, 2016-17,01/04/2017, Chichester, Away, Win,37 ,31 , A Williams, T Hickey, B Mairs, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, J Burden, B Smith, S Purves, S Flannery, L Rust, N Clarke, F Hooper, M Watkinson, S Kettle, C Jordan
 National 3 LSE, 2016-17,25/03/2017, Colchester, Home, Win,33 ,20 , A Williams, T Hickey, B Mairs, A Burrill, R Mitchell, R Pollett, S Kettle, J Garner, J Burden, B Smith, A Jordan, R Andrews, T Harty, N Clarke, F Hooper, R Crabtree, H Phillips, C Jordan
 National 3 LSE, 2016-17,11/03/2017, Westcombe Park, Away, Lose,14 ,48 , M Watkinson, H Phillips, B Mairs, M Scott, J Phillips, A Mackie, J Garner, R Brooker, C Jordan, B Smith, A Jordan, J Gomez, P Goodwin, S Purves, N Clarke, G Banks, A Williams, M Evans
 National 3 LSE, 2016-17,04/03/2017, Wimbledon, Away, Lose,17 ,36 , G Banks, H Phillips, B Mairs, M Scott, R Mitchell, J Phillips, J Garner, R Pollett, B Smith, J Burden, A Jordan, R Andrews, F Hooper, N Clarke, D Paton, M Watkinson, A Burrill, C Jordan
 National 3 LSE, 2016-17,18/02/2017, Amersham & Chiltern, Home, Win,36 ,20 , G Banks, T Hickey, B Mairs, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, B Smith, J Burden, A Jordan, R Andrews, T Harty, S Flannery, D Paton, A Williams, J Phillips, F Hooper
 National 3 LSE, 2016-17,11/02/2017, Westcliff, Away, Lose,11 ,25 , A Williams, T Hickey, B Mairs, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, C Jordan, J Burden, A Jordan, F Hooper, S Flannery, N Clarke, D Paton, G Banks, J Kirk, A Vaughan
 National 3 LSE, 2016-17,04/02/2017, Southend, Away, Lose,20 ,24 , A Williams, B Holden, B Mairs, M Scott, G Hill, J Phillips, J Kirk, R Pollett, J Burden, A Vaughan, N Clarke, F Hooper, S Flannery, R Voller, D Paton, T Hickey, J Taylor, C Jordan
 National 3 LSE, 2016-17,28/01/2017, Tonbridge Juddian, Home, Lose,18 ,38 , G Banks, B Holden, R Crabtree, M Scott, R Mitchell, J Kirk, J Garner, A Burrill, J Burden, D Paton, A Jordan, F Hooper, T Harty, R Voller, N Clarke, M Watkinson, J Phillips, M Evans
 National 3 LSE, 2016-17,14/01/2017, Hertford, Home, Lose,10 ,42 , G Banks, B Holden, B Mairs, M Scott, R Mitchell, J Garner, R Pollett, J Taylor, B Smith, R Andrews, A Jordan, F Hooper, T Harty, N Clarke, D Paton, R Crabtree, M Kippenberger, J Burden
 National 3 LSE, 2016-17,07/01/2017, Sutton & Epsom, Away, Lose,18 ,21 , A Williams, B Holden, B Mairs, R Pollett, R Mitchell, J Taylor, M Kippenberger, J Garner, C Jordan, R Andrews, A Jordan, F Hooper, T Harty, N Clarke, D Paton, R Crabtree, T Hickey, B Smith
 National 3 LSE, 2016-17,17/12/2016, Dorking, Home, Win,30 ,17 , A Williams, B Holden, B Mairs, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, C Jordan, R Andrews, A Jordan, F Hooper, S Flannery, S Phillips, D Paton, R Crabtree, T Hickey, J Burden
 National 3 LSE, 2016-17,10/12/2016, Guernsey, Away, Lose,5 ,69 , J Read, B Holden, A Williams, M Scott, R Mitchell, R Pollett, J Garner, A Burrill, C Jordan, R Andrews, A Jordan, A Vaughan, F Hooper, N Clarke, D Paton, T Powell, M Kippenberger, G Davies
 National 3 LSE, 2016-17,03/12/2016, Chichester, Home, Lose,6 ,27 , G Banks, B Holden, B Mairs, A Burrill, R Mitchell, R Pollett, J Kirk, J Garner, C Jordan, A Vaughan, A Jordan, R Andrews, F Hooper, N Clarke, D Paton, R Crabtree, M Kippenberger, G Davies
 National 3 LSE, 2016-17,26/11/2016, Colchester, Away, Win,24 ,17 , A Williams, B Holden, B Mairs, M Scott, A Burrill, R Pollett, J Kirk, J Garner, C Jordan, A Vaughan, A Jordan, R Andrews, F Hooper, S Flannery, D Paton, G Banks, T Hickey, J Burden
 National 3 LSE, 2016-17,19/11/2016, Westcombe Park, Home, Win,21 ,14 , A Williams, B Holden, B Mairs, M Scott, R Mitchell, R Pollett, A Burrill, J Garner, B Smith, A Vaughan, N Clarke, R Andrews, F Hooper, S Flannery, D Paton, R Crabtree, G Davies, J Burden
 National 3 LSE, 2016-17,05/11/2016, Wimbledon, Home, Lose,14 ,29 , A Williams, B Holden, B Mairs, A Burrill, R Mitchell, R Pollett, J Kirk, J Garner, B Smith, R Andrews, A Jordan, F Hooper, T Harty, S Flannery, D Paton, G Banks, L Rust, A Vaughan
 National 3 LSE, 2016-17,29/10/2016, Amersham & Chiltern, Away, Win,27 ,14 , G Banks, B Holden, B Mairs, M Scott, A Burrill, R Pollett, J Kirk, J Garner, B Smith, R Andrews, A Jordan, F Hooper, L Rust, T Harty, D Paton, A Williams, R Mitchell, J Burden
 National 3 LSE, 2016-17,22/10/2016, Westcliff, Home, Win,38 ,18 , G Banks, B Holden, B Mairs, M Scott, A Burrill, R Pollett, J Kirk, J Garner, C Jordan, A Vaughan, A Jordan, F Hooper, L Rust, S Flannery, D Paton, A Williams, M Kippenberger, R Andrews
 National 3 LSE, 2016-17,08/10/2016, Tonbridge Juddian, Away, Lose,5 ,37 , R Crabtree, B Holden, B Mairs, M Scott, A Burrill, R Pollett, M Kippenberger, J Garner, C Jordan, A Vaughan, A Jordan, S Flannery, T Harty, N Clarke, D Paton, A Williams, T Devereux, J Burden
 National 3 LSE, 2016-17,01/10/2016, Southend, Home, Win,25 ,5 , M Watkinson, B Holden, B Mairs, M Scott, R Mitchell, R Pollett, M Kippenberger, J Garner, C Jordan, A Vaughan, R Voller, S Flannery, T Harty, N Clarke, D Paton, R Crabtree, T Devereux, J Burden
 National 3 LSE, 2016-17,17/09/2016, Sutton & Epsom, Home, Lose,17 ,23 , R Crabtree, B Holden, B Mairs, M Scott, R Mitchell, J Kirk, J Garner, A Burrill, B Smith, J Burden, A Jordan, R Andrews, T Harty, N Clarke, D Paton, M Watkinson, R Pollett, R Voller
 National 3 LSE, 2016-17,10/09/2016, Dorking, Away, Lose,10 ,19 , R Crabtree, B Holden, B Mairs, M Scott, R Mitchell, J Kirk, J Garner, A Burrill, B Smith, R Andrews, A Jordan, D Paton, T Harty, J Gomez, A Ward, M Watkinson, R Pollett, J Burden
 National 3 LSE, 2016-17,03/09/2016, Shelford, Home, Win,37 ,8 , R Crabtree, B Holden, B Mairs, M Scott, R Mitchell, J Kirk, J Garner, A Burrill, B Smith, R Andrews, A Jordan, F Hooper, L Rust, T Harty, A Ward, M Watkinson, R Pollett, J Burden
 London 1 S, 2015-16,30/04/2016, Tring, Away, Win,26 ,21 , M Watkinson, B Holden, B Mairs, R Pollett, R Mitchell, J Roberts, J Kirk, A Burrill, B Smith, R Andrews, A Jordan, F Hooper, L Rust, T Harty, D Paton, A Williams, R Brooker, P Lucas
 London 1 S, 2015-16,23/04/2016, Tottonians, Away, Win,31 ,19 , M Watkinson, B Holden, B Mairs, R Pollett, R Mitchell, J Roberts, J Kirk, A Burrill, J Burden, R Andrews, A Jordan, F Hooper, L Rust, T Harty, D Paton, R Thornber, R Brooker, S Phillips
 London 1 S, 2015-16,16/04/2016, Maidstone, Home, Win,60 ,22 , M Watkinson, B Holden, B Mairs, R Pollett, R Mitchell, S Flannery, J Kirk, A Burrill, B Smith, R Andrews, A Jordan, F Hooper, L Rust, T Harty, D Paton, J Read, D Fletcher, J Burden
 London 1 S, 2015-16,09/04/2016, Sidcup, Away, Lose,24 ,26 , A Williams, B Holden, B Mairs, R Pollett, R Mitchell, D Fletcher, J Kirk, J Roberts, J Burden, R Andrews, A Jordan, F Hooper, L Rust, S Phillips, D Paton, M Watkinson, S Flannery, B Smith
 London 1 S, 2015-16,02/04/2016, Chiswick, Home, Win,48 ,31 , A Williams, B Holden, B Mairs, R Pollett, R Mitchell, A Burrill, J Kirk, J Roberts, J Burden, R Andrews, A Jordan, F Hooper, L Rust, S Phillips, D Paton, M Watkinson, R Brooker, S Fee
 London 1 S, 2015-16,19/03/2016, Charlton Park, Away, Win,59 ,17 , M Watkinson, S Younghusband, A Williams, L Fennemore, R Mitchell, J Roberts, J Kirk, C Hodges, J Burden, R Andrews, A Jordan, T Harty, L Rust, S Phillips, D Paton, J Read, R Brooker, F Hooper
 London 1 S, 2015-16,05/03/2016, Sutton & Epsom, Away, Lose,15 ,23 , A Williams, S Younghusband, B Mairs, A Burrill, J Roberts, J Kirk, P Lucas, C Hodges, B Smith, D Paton, A Jordan, L Rust, T Harty, S Phillips, F Hooper, M Watkinson, R Brooker, S Fee
 London 1 S, 2015-16,27/02/2016, Havant, Away, Lose,23 ,24 , M Watkinson, S Younghusband, A Williams, A Burrill, L Fennemore, J Roberts, P Lucas, C Hodges, B Smith, S Fee, A Jordan, D Paton, L Rust, S Phillips, F Hooper, J Read, R Brooker, J Gomez
 London 1 S, 2015-16,20/02/2016, Chobham, Home, Win,27 ,23 , M Watkinson, R Brooker, B Mairs, A Burrill, D Fletcher, J Kirk, P Lucas, C Hodges, B Smith, D Paton, A Jordan, L Rust, S Flannery, S Phillips, F Hooper, A Williams, J Roberts, S Fee
 London 1 S, 2015-16,30/01/2016, Brighton, Home, Win,24 ,21 , A Williams, B Holden, B Mairs, A Burrill, L Fennemore, J Kirk, P Lucas, C Hodges, B Smith, D Paton, A Jordan, L Rust, T Harty, S Phillips, F Hooper, M Watkinson, R Brooker, S Fee
 London 1 S, 2015-16,23/01/2016, Twickenham, Away, Win,31 ,7 , A Williams, B Holden, B Mairs, L Fennemore, D Fletcher, J Kirk, P Lucas, C Hodges, B Smith, D Paton, A Jordan, L Rust, T Harty, S Phillips, F Hooper, M Watkinson, R Brooker, J Burden
 London 1 S, 2015-16,16/01/2016, Medway, Home, Win,31 ,-  , M Watkinson, B Holden, B Mairs, L Fennemore, J Roberts, J Kirk, P Lucas, C Hodges, B Smith, D Paton, A Jordan, L Rust, S Flannery, J Gomez, F Hooper, A Williams, R Brooker, J Burden
 London 1 S, 2015-16,09/01/2016, Dover, Away, Win,40 ,18 , M Watkinson, R Brooker, B Mairs, A Burrill, J Roberts, J Kirk, P Lucas, C Hodges, B Smith, S Fee, A Jordan, D Paton, S Flannery, J Gomez, J Burden, A Williams, L Fennemore, T Hothersall
 London 1 S, 2015-16,19/12/2015, Gosport & Fareham, Home, Win,31 ,7 , A Williams, R Brooker, B Mairs, A Burrill, J Roberts, J Kirk, M Kippenberger, C Hodges, J Burden, D Paton, A Jordan, L Rust, S Flannery, S Phillips, F Hooper, M Watkinson, S Kettle, S Fee
 London 1 S, 2015-16,05/12/2015, Sidcup, Home, Win,16 ,14 , A Williams, B Holden, B Mairs, L Fennemore, R Mitchell, P Lucas, J Kirk, C Hodges, B Smith, S Fee, A Jordan, S Flannery, T Harty, L Rust, F Hooper, R Brooker, D Fletcher, S Phillips
 London 1 S, 2015-16,01/12/2015, Maidstone, Away, Lose,14 ,36 , A Williams, R Brooker, B Mairs, A Burrill, R Mitchell, J Kirk, M Kippenberger, D Fletcher, B Smith, S Fee, M Evans, L Rust, S Flannery, S Phillips, A Jordan, M Watkinson, P Goodwin, J Burden
 London 1 S, 2015-16,28/11/2015, Chiswick, Away, Win,17 ,12 , A Williams, B Holden, B Mairs, A Burrill, L Fennemore, P Lucas, J Kirk, C Hodges, J Burden, S Fee, A Jordan, S Flannery, M Evans, S Phillips, F Hooper, R Brooker, D Fletcher, R Mitchell
 London 1 S, 2015-16,21/11/2015, Charlton Park, Home, Win,38 ,5 , M Watkinson, B Holden, B Mairs, A Burrill, L Fennemore, D Fletcher, J Kirk, C Hodges, B Smith, S Fee, A Jordan, L Rust, T Harty, S Phillips, F Hooper, A Williams, R Brooker, S Flannery
 London 1 S, 2015-16,14/11/2015, Sutton & Epsom, Home, Lose,15 ,17 , M Watkinson, B Holden, B Mairs, A Burrill, R Mitchell, D Fletcher, P Lucas, C Hodges, B Smith, S Fee, A Jordan, L Rust, S Flannery, S Phillips, F Hooper, A Williams, R Brooker, J Burden
 London 1 S, 2015-16,07/11/2015, Chobham, Away, Win,24 ,17 , M Watkinson, B Holden, B Mairs, A Burrill, R Mitchell, D Fletcher, S Flannery, P Lucas, B Smith, S Fee, A Jordan, L Rust, T Harty, S Phillips, F Hooper, R Brooker, A Williams, G Hutchins
 London 1 S, 2015-16,24/10/2015, Havant, Home, Win,31 ,27 , M Watkinson, B Holden, J Read, A Burrill, R Mitchell, P Lucas, J Kirk, R Brooker, G Davies, S Fee, A Jordan, S Flannery, T Harty, S Phillips, F Hooper, L Fennemore, J Roberts, T Gill
 London 1 S, 2015-16,10/10/2015, Brighton, Away, Win,37 ,12 , M Watkinson, B Holden, B Mairs, S McCarthy, R Mitchell, A Burrill, D Fletcher, R Brooker, B Smith, S Fee, A Jordan, L Rust, M Evans, S Phillips, F Hooper, A Williams, K Mannering, T Gill
 London 1 S, 2015-16,03/10/2015, Twickenham, Home, Win,46 ,15 , M Watkinson, B Holden, B Mairs, A Burrill, S McCarthy, S Flannery, D Fletcher, R Brooker, B Smith, G Davies, A Jordan, T Harty, L Rust, S Phillips, F Hooper, A Williams, S Vickery, S Fee
 London 1 S, 2015-16,26/09/2015, Medway, Away, Lose,18 ,30 , A Williams, J Read, B Mairs, L Fennemore, S McCarthy, D Fletcher, S Kettle, R Brooker, B Smith, G Hutchins, A Jordan, L Rust, S Flannery, B Barrow, G Davies, M Watkinson, S Vickery, S Fee
 London 1 S, 2015-16,19/09/2015, Dover, Home, Win,27 ,23 , A Williams, B Holden, B Mairs, L Fennemore, R Mitchell, P Lucas, J Kirk, R Brooker, B Smith, G Davies, A Jordan, S Flannery, T Harty, S Phillips, N Clarke, M Watkinson, S Vickery, J Burden
 London 1 S, 2015-16,12/09/2015, Gosport & Fareham, Away, Win,50 ,29 , A Williams, B Holden, B Mairs, L Fennemore, R Mitchell, D Fletcher, J Kirk, C Hodges, B Smith, G Davies, A Jordan, S Flannery, T Harty, S Phillips, F Hooper, J Read, R Brooker, G Hutchins
 London 1 S, 2015-16,05/09/2015, Tottonians, Home, Win,25 ,6 , A Williams, B Holden, B Mairs, K Mannering, J Roberts, P Lucas, J Kirk, D Fletcher, B Smith, G Davies, A Jordan, T Harty, L Rust, S Phillips, F Hooper, J Read, R Brooker, G Hutchins
 London 1 S, 2014-15,18/04/2015, Sutton & Epsom, Home, Lose,19 ,29 , M Watkinson, B Holden, B Mairs, L Fennemore, M Stockdale, D Fletcher, P Lucas, R Brooker, T Gill, S Fee, J Adam, N Tidman, S Flannery, S Phillips, B Barrow, J Read, J Roberts, N Clarke
 London 1 S, 2014-15,11/04/2015, Twickenham, Away, Lose,26 ,39 , M Watkinson, B Holden, B Mairs, L Fennemore, R Mitchell, D Fletcher, J Roberts, M Stockdale, M Shea, S Fee, A Jordan, N Tidman, B Barrow, S Phillips, J Adam, J Read, R Brooker, N Clarke
 London 1 S, 2014-15,28/03/2015, Havant, Home, Win,13 ,12 , M Watkinson, B Holden, B Mairs, K Mannering, L Fennemore, D Fletcher, C Cutting, R Brooker, M Shea, A Vaughan, J Adam, N Tidman, S Flannery, S Phillips, B Barrow, J Read, S Fee, A Jordan
 London 1 S, 2014-15,21/03/2015, Hove, Away, Win,48 ,21 , M Watkinson, B Holden, B Mairs, K Mannering, R Mitchell, R Brooker, J Kirk, M Stockdale, T Gill, A Vaughan, A Jordan, S Flannery, C King, S Phillips, B Barrow, A Williams, D Fletcher, H Phillips
