League,Season,Date,Opposition,Location,Result,Guildford Points,Opposition Points,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
National 3 LSE,2016-17,24/09/2016,Hertford,Away,Lose,14,33,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,25/10/2025,Winchester,Away,Lose,14,45,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,18/10/2025,Tottonians,Home,Win,34,32,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,11/10/2025,Elingham & Ringwood,Away,Win,36,24,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,04/10/2025,Havant 2's,Home,Lose,14,29,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,20/09/2025,Petersfield,Away,Lose,7,43,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,13/09/2025,Reeds Weybridge,Home,Win,51,12,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2025-26,06/09/2025,Bournemouth,Away,Lose,-,50,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,05/04/2025,Andover,Home,Win,29,19,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,22/03/2025,Wimborne,Away,Lose,32,38,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,08/03/2025,Chichester,Home,Draw,22,22,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,01/03/2025,Petersfield,Away,Lose,38,40,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,15/02/2025,North Dorsest,Home,Win,50,24,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,08/02/2025,Tottonians,Home,Draw,17,17,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,01/02/2025,Newbury Blues,Away,Lose,20,23,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,18/01/2025,Winchester,Home,Lose,11,32,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,04/01/2025,Bournmouth,Away,Lose,15,49,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18
Regional 2 South Central,2024-25,21/12/2024,Chobham,Home,Win,29,28,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18